epoch 0
[2.39292546 0.04243342 0.02630921] 1.02334625Params: [2.39292546 0.04243342 0.02630921], valid rate: 1.000000, volume rate: 0.233462
[2.07923535 0.         0.        ] 1.02486875Params: [2.07923535 0.         0.        ], valid rate: 1.000000, volume rate: 0.248688
[1.85317095 0.0596766  0.        ] 1.02269375Params: [1.85317095 0.0596766  0.        ], valid rate: 1.000000, volume rate: 0.226937
[2.06630007 0.         0.01018248] 1.02477Params: [2.06630007 0.         0.01018248], valid rate: 1.000000, volume rate: 0.247700
[2.58522926 0.         0.03976267] 1.0242525Params: [2.58522926 0.         0.03976267], valid rate: 1.000000, volume rate: 0.242525
[2.23443502 0.         0.05434379] 1.0238475Params: [2.23443502 0.         0.05434379], valid rate: 1.000000, volume rate: 0.238475
[1.93257291 0.01965569 0.02241027] 1.02411625Params: [1.93257291 0.01965569 0.02241027], valid rate: 1.000000, volume rate: 0.241163
[2.03301764 0.         0.0491109 ] 1.02386875Params: [2.03301764 0.         0.0491109 ], valid rate: 1.000000, volume rate: 0.238687
[2.24846958 0.         0.03154403] 1.02433Params: [2.24846958 0.         0.03154403], valid rate: 1.000000, volume rate: 0.243300
[1.98768416 0.01605263 0.0199862 ] 1.0242525Params: [1.98768416 0.01605263 0.0199862 ], valid rate: 1.000000, volume rate: 0.242525
[2.0766947  0.03331288 0.04787627] 1.023465Params: [2.0766947  0.03331288 0.04787627], valid rate: 1.000000, volume rate: 0.234650
[1.93787417 0.         0.        ] 1.02486875Params: [1.93787417 0.         0.        ], valid rate: 1.000000, volume rate: 0.248688
[2.025558   0.01670622 0.08401772] 1.02318625Params: [2.025558   0.01670622 0.08401772], valid rate: 1.000000, volume rate: 0.231862
